subject,object,maxClinicalTrialPhase
CHEMBL1043,EFO_1000684,4.0
CHEMBL1043,EFO_0003060,4.0
CHEMBL1043,EFO_0000712,4.0
CHEMBL1043,EFO_0007448,4.0
CHEMBL1043,EFO_0004719,4.0
CHEMBL1043,EFO_0009448,4.0
CHEMBL1043,HP_0001945,4.0
CHEMBL1043,EFO_0007444,4.0
CHEMBL1043,EFO_0003894,4.0
CHEMBL1043,MONDO_0019338,4.0
CHEMBL1043,EFO_0007445,4.0
CHEMBL1043,EFO_0001068,4.0
CHEMBL1043,EFO_0001054,4.0
CHEMBL1043,MONDO_0100096,4.0
CHEMBL1046,EFO_0005775,4.0
CHEMBL1046,MP_0001914,4.0
CHEMBL1046,EFO_1000760,4.0
CHEMBL1046,MONDO_0015469,4.0
CHEMBL1046,MP_0001845,4.0
CHEMBL104943,HP_0002619,2.0
CHEMBL105,MONDO_0001056,4.0
CHEMBL105,EFO_0000588,4.0
CHEMBL105,EFO_0004190,4.0
CHEMBL105,EFO_0000313,4.0
CHEMBL105,MONDO_0001187,4.0
CHEMBL105,MONDO_0004647,4.0
CHEMBL105,HP_0007957,4.0
CHEMBL105,MONDO_0007254,4.0
CHEMBL105,EFO_0006859,4.0
CHEMBL105,MONDO_0003060,4.0
CHEMBL105,MONDO_0002691,4.0
CHEMBL105,EFO_0004268,4.0
CHEMBL105,MONDO_0008903,4.0
CHEMBL105,EFO_0009708,4.0
CHEMBL105,MONDO_0015486,4.0
CHEMBL105,HP_0000545,4.0
CHEMBL105,EFO_0000294,4.0
CHEMBL105,EFO_0000228,4.0
CHEMBL105,EFO_0000182,4.0
CHEMBL105,EFO_0000616,4.0
CHEMBL105,EFO_0005221,4.0
CHEMBL105,MONDO_0001235,4.0
CHEMBL105,EFO_0003060,4.0
CHEMBL105,EFO_0003835,4.0
CHEMBL105,EFO_1000601,4.0
CHEMBL105,EFO_0000691,4.0
CHEMBL105,EFO_0008528,4.0
CHEMBL105,MONDO_0005041,4.0
CHEMBL105,EFO_0003884,4.0
CHEMBL105,EFO_0000565,4.0
CHEMBL105,MONDO_0004992,4.0
CHEMBL105,HP_0012227,4.0
CHEMBL105,EFO_1001951,4.0
CHEMBL105,EFO_0004252,4.0
CHEMBL105,MONDO_0004986,4.0
